onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
7554.0224	2739.6607999999997	epochs					['EightMazePosition_0']
7565.442400000001	88.757599999999	trials	0.0	0.0	0.0	run_left	
7654.2	55.495200000000295	trials	0.0	0.0	0.0	run_right	
7709.6952	74.16079999999965	trials	0.0	0.0	0.0	run_left	
7783.856	57.634400000000824	trials	0.0	0.0	0.0	run_right	
7841.490400000001	53.236799999999675	trials	0.0	0.0	0.0	run_left	
7894.7272	47.76559999999972	trials	0.0	0.0	0.0	run_right	
7942.4928	59.677599999999984	trials	0.0	0.0	0.0	run_left	
8002.1704	43.49439999999959	trials	0.0	0.0	0.0	run_right	
8045.6648	47.624000000000706	trials	0.0	0.0	0.0	run_left	
8093.2888	46.020799999999326	trials	0.0	0.0	0.0	run_right	
8139.3096	47.13119999999981	trials	0.0	0.0	0.0	run_left	
8186.440799999999	50.73200000000088	trials	0.0	0.0	0.0	run_right	
8237.1728	44.26479999999901	trials	0.0	0.0	0.0	run_left	
8281.4376	46.106400000000576	trials	0.0	0.0	0.0	run_right	
8327.544	43.74959999999919	trials	0.0	0.0	0.0	run_left	
8371.293599999999	54.0536000000011	trials	0.0	0.0	0.0	run_right	
8425.3472	41.84399999999914	trials	0.0	0.0	0.0	run_left	
8467.1912	43.34560000000056	trials	0.0	0.0	0.0	run_right	
8510.5368	44.23840000000018	trials	0.0	0.0	0.0	run_left	
8554.7752	49.262399999999616	trials	0.0	0.0	0.0	run_right	
8604.0376	48.07520000000113	trials	0.0	0.0	0.0	run_left	
8652.1128	60.87359999999899	trials	0.0	0.0	0.0	run_right	
8712.9864	45.32079999999951	trials	0.0	0.0	0.0	run_left	
8758.3072	55.056800000000294	trials	0.0	0.0	0.0	run_right	
8813.364	47.61440000000039	trials	0.0	0.0	0.0	run_left	
8860.9784	51.072000000000116	trials	0.0	0.0	0.0	run_right	
8912.0504	46.742400000001	trials	0.0	0.0	0.0	run_left	
8958.792800000001	45.33039999999892	trials	0.0	0.0	0.0	run_right	
9004.1232	44.36080000000038	trials	0.0	0.0	0.0	run_left	
9048.484	68.37199999999939	trials	0.0	0.0	0.0	run_right	
9116.856	41.34640000000036	trials	0.0	0.0	0.0	run_left	
9158.2024	46.45919999999933	trials	0.0	0.0	0.0	run_right	
9204.6616	44.04240000000027	trials	0.0	0.0	0.0	run_left	
9248.704	47.11280000000079	trials	0.0	0.0	0.0	run_right	
9295.8168	47.789600000000064	trials	0.0	0.0	0.0	run_left	
9343.6064	45.995999999999185	trials	0.0	0.0	0.0	run_right	
9389.6024	48.288800000000265	trials	0.0	0.0	0.0	run_left	
9437.8912	43.93760000000111	trials	0.0	0.0	0.0	run_right	
9481.828800000001	48.04639999999745	trials	0.0	0.0	0.0	run_left	
9529.875199999999	41.538400000001275	trials	0.0	0.0	0.0	run_right	
9571.4136	63.279200000000856	trials	0.0	0.0	0.0	run_left	
9634.6928	44.15679999999884	trials	0.0	0.0	0.0	run_right	
9678.8496	36.22080000000096	trials	0.0	0.0	0.0	run_left	
9715.0704	40.50799999999981	trials	0.0	0.0	0.0	run_right	
9755.5784	42.48879999999917	trials	0.0	0.0	0.0	run_left	
9798.0672	43.78720000000067	trials	0.0	0.0	0.0	run_right	
9841.8544	42.1200000000008	trials	0.0	0.0	0.0	run_left	
9883.974400000001	26.209599999998318	trials	1.0	0.0	0.0	run_left	
