onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
0.0256	3801.7536	epochs					['EightMazePosition_0']
10.487200000000001	49.5536	trials	0.0	0.0	0.0	run_right	
60.040800000000004	78.3992	trials	0.0	0.0	0.0	run_left	
138.44	71.77360000000002	trials	0.0	0.0	0.0	run_right	
210.2136	102.20880000000002	trials	0.0	1.0	0.0	run_left	
312.42240000000004	78.74079999999998	trials	0.0	1.0	0.0	run_right	
391.1632	71.0	trials	0.0	1.0	0.0	run_left	
462.1632	75.2519999999999	trials	0.0	0.0	0.0	run_right	
537.4151999999999	70.1056000000001	trials	0.0	0.0	0.0	run_left	
607.5208	70.23760000000004	trials	0.0	1.0	0.0	run_right	
677.7584	70.93359999999996	trials	0.0	1.0	0.0	run_left	
748.692	49.532800000000066	trials	0.0	0.0	0.0	run_right	
798.2248000000001	193.22399999999993	trials	0.0	0.0	0.0	run_left	
991.4488	77.57039999999995	trials	0.0	0.0	0.0	run_right	
1069.0192	99.16880000000015	trials	0.0	1.0	0.0	run_left	
1168.188	35.32719999999995	trials	1.0	1.0	0.0	run_left	
1203.5152	84.47679999999991	trials	0.0	1.0	0.0	run_right	
1287.992	179.8040000000001	trials	1.0	0.0	0.0	run_right	
1467.796	129.11199999999985	trials	0.0	0.0	0.0	run_left	
1596.908	199.0824	trials	1.0	1.0	0.0	run_left	
1795.9904	197.23360000000002	trials	0.0	1.0	0.0	run_right	
1993.224	114.18560000000002	trials	0.0	0.0	0.0	run_left	
2107.4096	89.12960000000021	trials	1.0	0.0	0.0	run_left	
2196.5392	115.75919999999996	trials	0.0	0.0	0.0	run_right	
2312.2984	77.79680000000008	trials	0.0	1.0	0.0	run_left	
2390.0952	110.05839999999989	trials	1.0	1.0	0.0	run_left	
2500.1536	462.57519999999977	trials	1.0	1.0	0.0	run_left	
2962.7288	158.04320000000007	trials	1.0	0.0	0.0	run_left	
3120.772	308.2152000000001	trials	1.0	0.0	0.0	run_left	
3428.9872	143.2511999999997	trials	1.0	1.0	0.0	run_left	
3572.2383999999997	223.58000000000038	trials	1.0	1.0	0.0	run_left	
11194.3168	1160.2687999999998	epochs					['OpenFieldPosition_Old_0']
12355.712	1169.9712	epochs					['OpenFieldPosition_Old_Curtain_0']
13529.8816	1134.2079999999987	epochs					['OpenFieldPosition_New_Curtain_0']
14665.1136	1159.3727999999992	epochs					['OpenFieldPosition_New_0']
15825.5104	1141.7855999999992	epochs					['OpenFieldPosition_Oldlast_0']
16968.4224	2360.3712000000014	epochs					['OpenFieldPosition_ExtraLarge_0']
