onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
5476.224	3059.072	epochs					['EightMazePosition_0']
5497.4936	61.823999999999614	trials	0.0	0.0	0.0	run_right	
5559.317599999999	62.47280000000137	trials	0.0	0.0	0.0	run_left	
5621.790400000001	97.33439999999882	trials	0.0	0.0	0.0	run_right	
5719.1248	92.88799999999992	trials	0.0	1.0	0.0	run_left	
5812.0127999999995	102.34400000000005	trials	0.0	1.0	0.0	run_right	
5914.3568	169.58560000000125	trials	0.0	1.0	0.0	run_left	
6083.942400000001	48.59279999999944	trials	0.0	0.0	0.0	run_right	
6132.5352	100.67279999999937	trials	0.0	0.0	0.0	run_left	
6233.208	120.66240000000107	trials	1.0	1.0	0.0	run_left	
6353.870400000001	58.16239999999925	trials	0.0	1.0	0.0	run_right	
6412.0328	98.76320000000032	trials	0.0	0.0	0.0	run_left	
6510.796	211.60879999999997	trials	1.0	0.0	0.0	run_left	
6722.4048	77.59279999999944	trials	1.0	0.0	0.0	run_left	
6799.9976	59.73360000000048	trials	0.0	1.0	0.0	run_right	
6859.7312	75.52639999999974	trials	0.0	1.0	0.0	run_left	
6935.2576	271.27919999999995	trials	1.0	1.0	0.0	run_left	
7206.5368	203.14960000000065	trials	1.0	0.0	0.0	run_left	
7409.6864000000005	202.60879999999997	trials	1.0	0.0	0.0	run_left	
7612.2952000000005	67.99039999999877	trials	1.0	1.0	0.0	run_left	
7680.285599999999	78.3664000000008	trials	1.0	1.0	0.0	run_left	
7758.652	57.53679999999986	trials	0.0	0.0	0.0	run_right	
7816.1888	120.11599999999999	trials	0.0	0.0	0.0	run_left	
7936.3048	82.10000000000036	trials	1.0	0.0	0.0	run_left	
8018.4048	345.97679999999855	trials	1.0	1.0	0.0	run_left	
8364.381599999999	37.83359999999993	trials	1.0	1.0	0.0	run_left	
8402.215199999999	133.08480000000054	trials	0.0	1.0	0.0	run_right	
34388.1216	1119.155200000001	epochs					['OpenFieldPosition_Old_0']
35508.3008	1081.676800000001	epochs					['OpenFieldPosition_Old_Curtain_0']
36591.0016	1065.087999999996	epochs					['OpenFieldPosition_New_Curtain_0']
37657.1136	1104.5632000000041	epochs					['OpenFieldPosition_New_0']
38762.7008	1110.5792000000001	epochs					['OpenFieldPosition_Oldlast_0']
