onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
0.0	29163.6184	trials	0.0	1.0	0.0	run_right	
0.0	28907.556	trials	0.0	1.0	0.0	run_right	
0.0	9259.1704	trials	0.0	0.0	0.0	run_left	
0.0	7798.642400000001	trials	0.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
0.0	0.0	trials	1.0	0.0	0.0	run_left	
0.0	0.0	trials	1.0	0.0	0.0	run_right	
7603.8144	2591.8720000000003	epochs					['EightMazePosition_0']
7798.642400000001	-7798.642400000001	trials	1.0	0.0	0.0	run_left	
9259.1704	-9259.1704	trials	1.0	0.0	0.0	run_right	
10196.9664	2608.3328	epochs					['OpenFieldPosition_New_0']
12806.3232	1155.1743999999999	epochs					['OpenFieldPosition_New_Curtain_0']
13962.5216	1785.3696	epochs					['OpenFieldPosition_Old_Curtain_0']
15748.9152	1340.2623999999996	epochs					['OpenFieldPosition_Old_0']
28662.5024	1537.177599999999	epochs					['EightMazePosition_1']
28907.556	-28907.556	trials	1.0	0.0	0.0	run_left	
29163.6184	-29163.6184	trials	1.0	0.0	0.0	run_left	
