onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
9616.3072	7624.8832	epochs					['EightMazePosition_0']
9631.856800000001	61.87119999999777	trials	0.0	0.0	0.0	run_right	
9693.728	283.89520000000084	trials	0.0	0.0	0.0	run_right	
9977.6232	72.14079999999922	trials	0.0	0.0	0.0	run_right	
10049.764	264.0648000000019	trials	0.0	0.0	0.0	run_right	
10313.828800000001	68.29679999999826	trials	0.0	0.0	0.0	run_right	
10382.1256	98.10000000000036	trials	0.0	0.0	0.0	run_left	
10480.2256	62.927200000000084	trials	0.0	0.0	0.0	run_right	
10543.1528	80.47760000000017	trials	0.0	0.0	0.0	run_left	
10623.6304	59.93279999999868	trials	0.0	0.0	0.0	run_right	
10683.563199999999	464.64400000000023	trials	0.0	0.0	0.0	run_right	
11148.207199999999	119.61200000000099	trials	0.0	0.0	0.0	run_right	
11267.8192	86.61520000000019	trials	0.0	0.0	0.0	run_left	
11354.4344	100.16640000000007	trials	0.0	0.0	0.0	run_right	
11454.6008	352.5072	trials	0.0	0.0	0.0	run_right	
11807.108	111.44880000000012	trials	0.0	0.0	0.0	run_right	
11918.5568	448.90400000000045	trials	0.0	0.0	0.0	run_right	
12367.4608	1177.304	trials	1.0	0.0	0.0	run_right	
13544.7648	988.8087999999989	trials	1.0	0.0	0.0	run_right	
14533.5736	444.9792000000016	trials	1.0	0.0	0.0	run_right	
14978.552800000001	242.5167999999976	trials	0.0	0.0	0.0	run_right	
15221.069599999999	231.04080000000067	trials	0.0	0.0	0.0	run_left	
15452.1104	44.770400000001246	trials	1.0	0.0	0.0	run_left	
15496.8808	90.66560000000027	trials	0.0	0.0	0.0	run_right	
15587.546400000001	109.3927999999978	trials	0.0	0.0	0.0	run_left	
15696.939199999999	80.65520000000106	trials	0.0	0.0	0.0	run_right	
15777.5944	91.91359999999986	trials	0.0	0.0	0.0	run_left	
15869.508	267.8160000000007	trials	0.0	0.0	0.0	run_right	
16137.324	73.96319999999832	trials	0.0	0.0	0.0	run_left	
16211.287199999999	74.16400000000067	trials	0.0	0.0	0.0	run_right	
16285.4512	147.00400000000081	trials	0.0	0.0	0.0	run_left	
16432.4552	71.28240000000005	trials	1.0	0.0	0.0	run_left	
16503.7376	52.75759999999718	trials	0.0	0.0	0.0	run_right	
16556.495199999998	104.1704000000027	trials	1.0	0.0	0.0	run_right	
16660.6656	157.4607999999971	trials	0.0	0.0	0.0	run_left	
16818.126399999997	65.75760000000082	trials	0.0	0.0	0.0	run_right	
16883.884	142.0544000000009	trials	0.0	0.0	0.0	run_left	
17025.9384	86.94080000000031	trials	0.0	0.0	0.0	run_right	
17112.8792	126.40640000000349	trials	0.0	0.0	0.0	run_left	
17242.3168	1195.0591999999997	epochs					['OpenFieldPosition_Old_0']
18438.5792	1161.4207999999999	epochs					['OpenFieldPosition_Old_Curtain_0']
19601.1264	1160.8575999999994	epochs					['OpenFieldPosition_New_Curtain_0']
20763.008	1124.7871999999988	epochs					['OpenFieldPosition_New_0']
21888.8192	1203.3791999999994	epochs					['OpenFieldPosition_Oldlast_0']
23093.2224	2341.760000000002	epochs					['OpenFieldPosition_ExtraLarge_0']
