onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
5965.9008	1269.0944	epochs					['OpenFieldPosition_Old_0']
7236.0192	1181.5680000000002	epochs					['OpenFieldPosition_Old_Curtain_0']
8418.7392	1202.5599999999995	epochs					['OpenFieldPosition_New_Curtain_0']
9622.4512	1059.8400000000001	epochs					['OpenFieldPosition_New_0']
10683.3152	845.2608	epochs					['OpenFieldPosition_Oldlast_0']
11529.6	4247.091199999999	epochs					['EightMazePosition_0']
11538.6064	89.42719999999827	trials	0.0	0.0	0.0	run_right	
11628.033599999999	98.54960000000028	trials	0.0	0.0	0.0	run_left	
11726.5832	85.74880000000121	trials	0.0	0.0	0.0	run_right	
11812.332	101.05999999999949	trials	0.0	0.0	0.0	run_left	
11913.392	119.41920000000027	trials	1.0	0.0	0.0	run_left	
12032.8112	226.61039999999957	trials	0.0	0.0	0.0	run_right	
12259.4216	510.2024000000001	trials	0.0	0.0	0.0	run_left	
12769.624	642.7983999999997	trials	1.0	0.0	0.0	run_left	
13412.4224	567.0504000000019	trials	1.0	0.0	0.0	run_left	
13979.472800000001	1797.2271999999994	trials	0.0	0.0	0.0	run_left	
