onset	duration	nwb_table	error_run	stim_run	both_visit	condition	tags
6918.1184	5811.558399999999	epochs					['EightMazePosition_0']
6934.44	151.25840000000062	trials	0.0	0.0	0.0	run_left	
7085.6984	101.70560000000023	trials	0.0	0.0	0.0	run_right	
7187.404	67.20719999999983	trials	0.0	0.0	0.0	run_left	
7254.6112	90.91359999999986	trials	0.0	0.0	0.0	run_right	
7345.5248	77.9944000000005	trials	0.0	0.0	0.0	run_left	
7423.519200000001	77.67599999999948	trials	0.0	0.0	0.0	run_right	
7501.1952	54.626399999999194	trials	0.0	0.0	0.0	run_left	
7555.821599999999	77.06160000000091	trials	0.0	0.0	0.0	run_right	
7632.8832	94.25920000000042	trials	0.0	0.0	0.0	run_left	
7727.142400000001	1467.6575999999986	trials	0.0	0.0	0.0	run_right	
9195.8	38.29360000000088	trials	0.0	0.0	0.0	run_left	
9234.0936	109.3255999999983	trials	1.0	0.0	0.0	run_left	
9343.419199999998	47.37200000000121	trials	1.0	0.0	0.0	run_left	
9390.7912	25.27440000000024	trials	1.0	0.0	0.0	run_left	
9416.0656	45.30320000000029	trials	1.0	0.0	0.0	run_left	
9461.3688	47.47679999999855	trials	1.0	0.0	0.0	run_left	
9508.845599999999	208.94400000000132	trials	0.0	0.0	0.0	run_right	
9717.7896	86.10640000000058	trials	0.0	0.0	0.0	run_left	
9803.896	169.33759999999893	trials	0.0	0.0	0.0	run_right	
9973.2336	70.89520000000084	trials	0.0	0.0	0.0	run_left	
10044.1288	74.27599999999984	trials	0.0	0.0	0.0	run_right	
10118.4048	52.063200000000506	trials	0.0	0.0	0.0	run_left	
10170.468	26.521599999998216	trials	1.0	0.0	0.0	run_left	
10196.989599999999	86.80080000000089	trials	0.0	0.0	0.0	run_right	
10283.7904	51.36239999999998	trials	0.0	0.0	0.0	run_left	
10335.1528	34.99120000000039	trials	1.0	0.0	0.0	run_left	
10370.144	142.9368000000013	trials	0.0	0.0	0.0	run_right	
10513.080800000002	54.38719999999921	trials	0.0	0.0	0.0	run_left	
10567.468	30.688000000000102	trials	1.0	0.0	0.0	run_left	
10598.156	138.8047999999999	trials	0.0	0.0	0.0	run_right	
10736.9608	84.82400000000052	trials	0.0	0.0	0.0	run_left	
10821.784800000001	339.54719999999907	trials	0.0	0.0	0.0	run_right	
11161.332	58.83119999999872	trials	1.0	0.0	0.0	run_right	
11220.163199999999	124.35040000000117	trials	0.0	0.0	0.0	run_left	
11344.5136	62.39439999999922	trials	0.0	0.0	0.0	run_right	
11406.908	44.832000000000335	trials	0.0	0.0	0.0	run_left	
11451.74	159.78080000000045	trials	0.0	0.0	0.0	run_right	
11611.5208	347.0792000000001	trials	1.0	0.0	0.0	run_right	
11971.4568	88.63119999999981	trials	0.0	0.0	0.0	run_left	
12060.088	79.28719999999885	trials	0.0	0.0	0.0	run_right	
12139.375199999999	65.59120000000257	trials	0.0	0.0	0.0	run_left	
12204.966400000001	62.01440000000002	trials	0.0	0.0	0.0	run_right	
12266.980800000001	89.12639999999737	trials	1.0	0.0	0.0	run_right	
12356.107199999999	101.90000000000146	trials	0.0	0.0	0.0	run_left	
12458.0072	58.133600000001024	trials	1.0	0.0	0.0	run_left	
12516.140800000001	31.453599999998914	trials	0.0	0.0	0.0	run_right	
12547.5944	47.987199999999575	trials	0.0	0.0	0.0	run_left	
12595.5816	98.34400000000096	trials	0.0	0.0	0.0	run_right	
12730.88	1393.2032	epochs					['OpenFieldPosition_Old_0']
14125.1072	1225.0879999999997	epochs					['OpenFieldPosition_New_0']
15351.2192	2339.072	epochs					['OpenFieldPosition_Oldlast_0']
39226.4192	1454.0800000000017	epochs					['EightMazePosition_1']
39238.8984	105.12799999999697	trials	0.0	0.0	0.0	run_right	
39344.026399999995	77.45440000000235	trials	1.0	0.0	0.0	run_right	
39421.4808	105.0480000000025	trials	0.0	0.0	0.0	run_left	
39526.5288	98.52560000000085	trials	0.0	0.0	0.0	run_right	
39625.0544	79.68239999999787	trials	0.0	0.0	0.0	run_left	
39704.7368	126.97440000000643	trials	0.0	0.0	0.0	run_right	
39831.711200000005	65.09199999999691	trials	0.0	0.0	0.0	run_left	
39896.8032	73.6224000000002	trials	1.0	0.0	0.0	run_left	
39970.4256	148.3199999999997	trials	0.0	0.0	0.0	run_right	
40118.7456	54.53039999999601	trials	0.0	0.0	0.0	run_left	
40173.276	110.95600000000559	trials	0.0	0.0	0.0	run_right	
40284.232	288.896799999995	trials	0.0	0.0	0.0	run_left	
40573.1288	68.86799999999494	trials	0.0	0.0	0.0	run_right	
